shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2022122405643,2758,85883,Pekayon Jaya,17148,Rajabasa Raya,35142,1,2,REG23,,
TRD2022122604528,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2022122604546,85513,37143,Kerobokan Kelod,80117,Liselande,86111,10,1,REG23,,
TRD2022122604551,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2022122604605,85513,33741,Kerobokan Kelod,80117,Lepolima,86116,5,6,REG23,,
TRD2022122604860,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2022122604902,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2022122605286,87275,29681,Rintis,28155,Dadok Tunggul Hitam,25176,1,2,REG23,,
TRD2022122606180,2046,80896,Bunigeulis,45556,Kamoning,69216,2,3,REG23,,
TRD2022122606227,2046,37613,Bunigeulis,45556,Bunder,41161,2,3,REG23,,
TRD2022122703916,2046,3749,Bunigeulis,45556,Pondok Butun,72211,3,5,REG23,,
TRD2022122704099,88124,79216,A M P L A S,20148,Sipange Julu,22774,1,3,REG23,,
TRD2022122704182,85513,39764,Kerobokan Kelod,80117,Balela,86214,2,3,REG23,,
TRD2022122704225,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2022122704328,88124,79216,A M P L A S,20148,Sipange Julu,22774,1,3,REG23,,
TRD2022122705294,2758,67956,Pekayon Jaya,17148,Kefamenanu Selatan,85613,3,5,REG23,,
TRD2022122806524,2758,2228,Pekayon Jaya,17148,Angkasapura,99113,2,4,REG23,,
TRD2022122806599,2758,64416,Pekayon Jaya,17148,Ardipura,99223,2,4,REG23,,
TRD2022122807159,2758,53000,Pekayon Jaya,17148,Sekumpul,70619,3,5,REG23,,
TRD2022122904407,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2022122904478,88124,23105,A M P L A S,20148,Ujung Gading Jae,22747,3,4,REG23,,
TRD2022123005000,87275,31593,Rintis,28155,Meral Kota,29664,6,7,REG23,,
