No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,namaKota,provinceName
72,Tangerang,15415,-6.1341,106.8325,23891,Kabupaten Simeulue,Aceh
73,Tangerang,15415,-6.1341,106.8325,24782,Kota Subulussalam,Aceh
74,Tangerang,15415,-6.1341,106.8325,28711,Kabupaten Bengkalis,Riau
75,Tangerang,15415,-6.1341,106.8325,28811,Kota Dumai,Riau
76,Tangerang,15415,-6.1341,106.8325,29211,Kabupaten Indragiri Hilir,Riau
77,Tangerang,15415,-6.1341,106.8325,29319,Kabupaten Indragiri Hulu,Riau
78,Tangerang,15415,-6.1341,106.8325,28411,Kabupaten Kampar,Riau
79,Tangerang,15415,-6.1341,106.8325,28755,Kabupaten Kepulauan Meranti,Riau
80,Tangerang,15415,-6.1341,106.8325,29511,Kabupaten Kuantan Singingi,Riau
81,Tangerang,15415,-6.1341,106.8325,28111,Kota Pekanbaru,Riau
82,Tangerang,15415,-6.1341,106.8325,28383,Kabupaten Pelalawan,Riau
83,Tangerang,15415,-6.1341,106.8325,28911,Kabupaten Rokan Hilir,Riau
84,Tangerang,15415,-6.1341,106.8325,28557,Kabupaten Rokan Hulu,Riau
85,Tangerang,15415,-6.1341,106.8325,28763,Kabupaten Siak,Riau
86,Tangerang,15415,-6.1341,106.8325,26164,Kabupaten Agam,Sumatera Barat
87,Tangerang,15415,-6.1341,106.8325,26115,Kota Bukittinggi,Sumatera Barat
88,Tangerang,15415,-6.1341,106.8325,27678,Kabupaten Dharmasraya,Sumatera Barat
89,Tangerang,15415,-6.1341,106.8325,25392,Kabupaten Kepulauan Mentawai,Sumatera Barat
90,Tangerang,15415,-6.1341,106.8325,26257,Kabupaten Lima Puluh Koto/Kota,Sumatera Barat
91,Tangerang,15415,-6.1341,106.8325,25111,Kota Padang,Sumatera Barat
92,Tangerang,15415,-6.1341,106.8325,27111,Kota Padang Panjang,Sumatera Barat
93,Tangerang,15415,-6.1341,106.8325,25511,Kabupaten Padang Pariaman,Sumatera Barat
94,Tangerang,15415,-6.1341,106.8325,25582,Kota Pariaman,Sumatera Barat
95,Tangerang,15415,-6.1341,106.8325,26311,Kabupaten Pasaman,Sumatera Barat
96,Tangerang,15415,-6.1341,106.8325,26566,Kabupaten Pasaman Barat,Sumatera Barat
97,Tangerang,15415,-6.1341,106.8325,26211,Kota Payakumbuh,Sumatera Barat
98,Tangerang,15415,-6.1341,106.8325,25673,Kabupaten Pesisir Selatan,Sumatera Barat
99,Tangerang,15415,-6.1341,106.8325,27411,Kota Sawah Lunto,Sumatera Barat
100,Tangerang,15415,-6.1341,106.8325,27511,Kabupaten Sijunjung,Sumatera Barat
101,Tangerang,15415,-6.1341,106.8325,27383,Kabupaten Solok,Sumatera Barat
102,Tangerang,15415,-6.1341,106.8325,27381,Kota Solok,Sumatera Barat
103,Tangerang,15415,-6.1341,106.8325,27681,Kabupaten Solok Selatan,Sumatera Barat
104,Tangerang,15415,-6.1341,106.8325,27211,Kabupaten Tanah Datar,Sumatera Barat
105,Tangerang,15415,-6.1341,106.8325,30911,Kabupaten Banyuasin,Sumatera Selatan
106,Tangerang,15415,-6.1341,106.8325,31511,Kabupaten Empat Lawang,Sumatera Selatan
107,Tangerang,15415,-6.1341,106.8325,31411,Kabupaten Lahat,Sumatera Selatan
108,Tangerang,15415,-6.1341,106.8325,31611,Kota Lubuk Linggau,Sumatera Selatan
109,Tangerang,15415,-6.1341,106.8325,31311,Kabupaten Muara Enim,Sumatera Selatan
110,Tangerang,15415,-6.1341,106.8325,30711,Kabupaten Musi Banyuasin,Sumatera Selatan
111,Tangerang,15415,-6.1341,106.8325,31661,Kabupaten Musi Rawas,Sumatera Selatan
112,Tangerang,15415,-6.1341,106.8325,30611,Kabupaten Ogan Ilir,Sumatera Selatan
113,Tangerang,15415,-6.1341,106.8325,30655,Kabupaten Ogan Komering Ilir,Sumatera Selatan
114,Tangerang,15415,-6.1341,106.8325,32156,Kabupaten Ogan Komering Ulu,Sumatera Selatan
115,Tangerang,15415,-6.1341,106.8325,32274,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan
116,Tangerang,15415,-6.1341,106.8325,32184,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan
117,Tangerang,15415,-6.1341,106.8325,31512,Kota Pagar Alam,Sumatera Selatan
118,Tangerang,15415,-6.1341,106.8325,30111,Kota Palembang,Sumatera Selatan
119,Tangerang,15415,-6.1341,106.8325,31111,Kota Prabumulih,Sumatera Selatan
120,Tangerang,15415,-6.1341,106.8325,31214,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan
121,Tangerang,15415,-6.1341,106.8325,31654,Kabupaten Musi Rawas Utara,Sumatera Selatan
122,Tangerang,15415,-6.1341,106.8325,21211,Kabupaten Asahan,Sumatera Utara
123,Tangerang,15415,-6.1341,106.8325,21255,Kabupaten Batu Bara,Sumatera Utara
124,Tangerang,15415,-6.1341,106.8325,20711,Kota Binjai,Sumatera Utara
125,Tangerang,15415,-6.1341,106.8325,22211,Kabupaten Dairi,Sumatera Utara
126,Tangerang,15415,-6.1341,106.8325,20511,Kabupaten Deli Serdang,Sumatera Utara
127,Tangerang,15415,-6.1341,106.8325,22811,Kota Gunungsitoli,Sumatera Utara
128,Tangerang,15415,-6.1341,106.8325,22411,Kabupaten Humbang Hasundutan,Sumatera Utara
129,Tangerang,15415,-6.1341,106.8325,22111,Kabupaten Karo,Sumatera Utara
130,Tangerang,15415,-6.1341,106.8325,21411,Kabupaten Labuhan Batu,Sumatera Utara
131,Tangerang,15415,-6.1341,106.8325,21464,Kabupaten Labuhan Batu Selatan,Sumatera Utara
132,Tangerang,15415,-6.1341,106.8325,21455,Kabupaten Labuhan Batu Utara,Sumatera Utara
133,Tangerang,15415,-6.1341,106.8325,20811,Kabupaten Langkat,Sumatera Utara
134,Tangerang,15415,-6.1341,106.8325,22911,Kabupaten Mandailing Natal,Sumatera Utara
135,Tangerang,15415,-6.1341,106.8325,20111,Kota Medan,Sumatera Utara
136,Tangerang,15415,-6.1341,106.8325,22876,Kabupaten Nias,Sumatera Utara
137,Tangerang,15415,-6.1341,106.8325,22863,Kabupaten Nias Barat,Sumatera Utara
138,Tangerang,15415,-6.1341,106.8325,22874,Kabupaten Nias Selatan,Sumatera Utara
139,Tangerang,15415,-6.1341,106.8325,22861,Kabupaten Nias Utara,Sumatera Utara
140,Tangerang,15415,-6.1341,106.8325,22711,Kabupaten Padang Lawas,Sumatera Utara
141,Tangerang,15415,-6.1341,106.8325,22756,Kabupaten Padang Lawas Utara,Sumatera Utara
142,Tangerang,15415,-6.1341,106.8325,22727,Kota Padang Sidempuan,Sumatera Utara
143,Tangerang,15415,-6.1341,106.8325,22271,Kabupaten Pakpak Bharat,Sumatera Utara
144,Tangerang,15415,-6.1341,106.8325,21111,Kota Pematang Siantar,Sumatera Utara
145,Tangerang,15415,-6.1341,106.8325,22392,Kabupaten Samosir,Sumatera Utara
146,Tangerang,15415,-6.1341,106.8325,20995,Kabupaten Serdang Bedagai,Sumatera Utara
147,Tangerang,15415,-6.1341,106.8325,22511,Kota Sibolga,Sumatera Utara
148,Tangerang,15415,-6.1341,106.8325,21161,Kabupaten Simalungun,Sumatera Utara
149,Tangerang,15415,-6.1341,106.8325,21311,Kota Tanjung Balai,Sumatera Utara
150,Tangerang,15415,-6.1341,106.8325,22742,Kabupaten Tapanuli Selatan,Sumatera Utara
151,Tangerang,15415,-6.1341,106.8325,22611,Kabupaten Tapanuli Tengah,Sumatera Utara
152,Tangerang,15415,-6.1341,106.8325,22411,Kabupaten Tapanuli Utara,Sumatera Utara
153,Tangerang,15415,-6.1341,106.8325,20611,Kota Tebing Tinggi,Sumatera Utara
154,Tangerang,15415,-6.1341,106.8325,22311,Kabupaten Toba Samosir,Sumatera Utara
