created_at,shipment_order_no,awb_number,status,logistic_id,dispatch_at,delivered_at,in_process_return,return_at
2023-07-03 9:21:47,TRD2023070301348,IDE702993638371,500,24,1688558761,1688617167,0,0
2023-07-03 9:21:47,TRD2023070301417,IDE703573756074,500,24,1688412428,1688561013,0,0
2023-07-03 9:21:47,TRD2023070301557,IDE702960877197,500,24,1688558887,1688622208,0,0
2023-07-03 9:21:47,TRD2023070301380,IDE703347968220,500,24,1688412426,1688643025,0,0
2023-07-03 9:21:47,TRD2023070301501,IDE703315950844,500,24,1688412581,1688617302,0,0
2023-07-03 9:21:47,TRD2023070301453,IDE702816778643,400,24,1688642765,0,0,0
2023-07-03 9:21:47,TRD2023070301442,IDE702494414782,400,24,1688413091,0,0,0
2023-07-03 9:21:47,TRD2023070301361,IDE702813989733,501,24,1688558760,0,0,0
2023-07-03 9:21:47,TRD2023070301478,IDE702663961658,500,24,1688412076,1688641158,0,0
2023-07-03 9:21:47,TRD2023070301534,IDE703399824465,500,24,1688412580,1688560505,0,0
2023-07-03 9:21:47,TRD2023070301240,IDE703717764234,501,24,1688412084,0,0,0
2023-07-03 9:21:47,TRD2023070301506,IDE702068285502,500,24,1688558761,1688692849,0,0
2023-07-03 9:21:47,TRD2023070301381,IDE703884227208,500,24,1688412081,1688640301,0,0
2023-07-03 9:21:47,TRD2023070301368,IDE703928087469,400,24,1688558062,0,0,0
2023-07-03 9:21:47,TRD2023070301232,IDE700095467644,500,24,1688412426,1688548943,0,0
2023-07-03 9:21:47,TRD2023070301483,IDE702438644141,500,24,1688413092,1688559919,0,0
2023-07-03 9:21:47,TRD2023070301530,IDE703637850493,501,24,1688413093,0,0,0
2023-07-03 9:21:47,TRD2023070301512,IDE702485489813,500,24,1688558061,1688625427,0,0
2023-07-03 9:21:47,TRD2023070301406,IDE702753111757,500,24,1688413092,1688475750,0,0
2023-07-03 9:21:47,TRD2023070301403,IDE702745568375,500,24,1688490381,1688609331,0,0
2023-07-03 9:21:47,TRD2023070301591,IDE701555807143,500,24,1688413093,1688466746,0,0
2023-07-03 9:21:47,TRD2023070301413,IDE702296180375,500,24,1688412428,1688546554,0,0
2023-07-03 9:21:47,TRD2023070301430,IDE702049906199,500,24,1688412083,1688636173,0,0
2023-07-03 9:21:47,TRD2023070301457,IDE702483731259,500,24,1688412430,1688471272,0,0
2023-07-03 9:21:47,TRD2023070301280,IDE701386200732,500,24,1688412581,1688623509,0,0
2023-07-03 9:21:47,TRD2023070301291,IDE702087706902,500,24,1688413093,1688472894,0,0
2023-07-03 9:21:47,TRD2023070301363,IDE702592824651,501,24,1688490375,0,0,0
2023-07-03 9:21:47,TRD2023070301367,IDE702281551960,500,24,1688412580,1688628531,0,0
2023-07-03 9:21:47,TRD2023070301425,IDE702022608324,400,24,1688558763,0,0,0
2023-07-03 9:21:47,TRD2023070301428,IDE703907414639,500,24,1688412427,1688563224,0,0
2023-07-03 9:21:47,TRD2023070301218,IDE700675258141,400,24,1688558061,0,0,0
2023-07-03 9:21:47,TRD2023070301627,IDE702012427556,400,24,1688643252,0,0,0
2023-07-03 9:21:47,TRD2023070301277,IDE703424400599,500,24,1688413093,1688624509,0,0
2023-07-03 9:21:47,TRD2023070301306,IDE702026921486,602,24,1688413093,0,0,0
2023-07-03 9:21:47,TRD2023070301260,IDE702321338185,501,24,1688413091,0,0,0
2023-07-03 9:21:47,TRD2023070301520,IDE701656981241,400,24,1688412428,0,0,0
2023-07-03 9:21:47,TRD2023070301613,IDE702212996341,400,24,1688643252,0,0,0
2023-07-03 9:21:47,TRD2023070301606,IDE700126505199,400,24,1688643257,0,0,0
2023-07-03 9:21:47,TRD2023070301493,IDE700969691682,400,24,1688643261,0,0,0
2023-07-03 9:21:47,TRD2023070301587,IDE702233317943,400,24,1688558062,0,0,0
2023-07-03 9:21:47,TRD2023070301499,IDE701192778143,400,24,1688643264,0,0,0
2023-07-03 9:21:47,TRD2023070301434,IDE701452719203,500,24,1688412428,1688554993,0,0
2023-07-03 9:21:47,TRD2023070301544,IDE701972048131,400,24,1688643256,0,0,0
