Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
42,12,Kalimantan,Kalimantan Barat,Kabupaten,Pontianak,Kabupaten Pontianak,-0.099983,109.330533,78243,2750644,264225,726049609900,0.00237
43,12,Kalimantan,Kalimantan Barat,Kota,Pontianak,Kota Pontianak,-0.036714,109.338004,78113,2750644,669795,1842717893180,0.00602
44,12,Kalimantan,Kalimantan Barat,Kabupaten,Sambas,Kabupaten Sambas,1.403274,109.325107,79465,2792599,647844,1805334198056,0.00590
45,12,Kalimantan,Kalimantan Barat,Kabupaten,Sanggau,Kabupaten Sanggau,0.13477,110.592349,78557,2703536,492989,1332458051504,0.00436
46,12,Kalimantan,Kalimantan Barat,Kabupaten,Sekadau,Kabupaten Sekadau,0.004029,110.939268,79513,2654770,214429,569533572430,0.00186
47,12,Kalimantan,Kalimantan Barat,Kota,Singkawang,Kota Singkawang,0.90931,108.984931,79111,2781898,241467,670805924566,0.00219
48,12,Kalimantan,Kalimantan Barat,Kabupaten,Sintang,Kabupaten Sintang,0.06395,111.492913,78611,2771035,426416,1178572736840,0.00385
49,12,Kalimantan,Kalimantan Barat,Kota,Mempawah,Kota Mempawah,0.906239,109.188004,78391,2608601,310927,810118411927,0.00265
50,13,Kalimantan,Kalimantan Selatan,Kabupaten,Balangan,Kabupaten Balangan,-2.330097,115.275682,71665,3149977,132213,416425759301,0.00136
51,13,Kalimantan,Kalimantan Selatan,Kabupaten,Banjar,Kabupaten Banjar,-3.47219,114.8638,70611,3149977,572109,1800273877593,0.00589
52,13,Kalimantan,Kalimantan Selatan,Kota,Banjarbaru,Kota Banjarbaru,-3.438548,114.744257,70714,3149977,253442,798968345434,0.00261
53,13,Kalimantan,Kalimantan Selatan,Kota,Banjarmasin,Kota Banjarmasin,-3.320299,114.591866,70117,3200035,667489,2133555692915,0.00697
54,13,Kalimantan,Kalimantan Selatan,Kabupaten,Barito Kuala,Kabupaten Barito Kuala,-1.967769,114.810215,73712,3149977,316963,996158931451,0.00326
55,13,Kalimantan,Kalimantan Selatan,Kabupaten,Hulu Sungai Selatan,Kabupaten Hulu Sungai Selatan,-2.808934,115.222296,71215,3149877,229960,722314331820,0.00236
56,13,Kalimantan,Kalimantan Selatan,Kabupaten,Hulu Sungai Tengah,Kabupaten Hulu Sungai Tengah,-2.455097,115.224386,71315,3149977,260754,821168285258,0.00268
57,13,Kalimantan,Kalimantan Selatan,Kabupaten,Hulu Sungai Utara,Kabupaten Hulu Sungai Utara,-2.286212,115.213917,71419,3149977,228831,720783232887,0.00236
58,13,Kalimantan,Kalimantan Selatan,Kabupaten,Kotabaru,Kabupaten Kotabaru,-3.267211,116.225153,72163,3293371,329483,1085113800293,0.00355
59,13,Kalimantan,Kalimantan Selatan,Kabupaten,Tabalong,Kabupaten Tabalong,-1.747828,115.915417,71513,3238555,256903,831959520165,0.00272
60,13,Kalimantan,Kalimantan Selatan,Kabupaten,Tanah Bumbu,Kabupaten Tanah Bumbu,-3.448552,115.61463,72211,3151028,328146,1032850131888,0.00338
61,13,Kalimantan,Kalimantan Selatan,Kabupaten,Tanah Laut,Kabupaten Tanah Laut,-3.850749,116.270774,70815,3149977,354340,1115560537480,0.00365
62,13,Kalimantan,Kalimantan Selatan,Kabupaten,Tapin,Kabupaten Tapin,-2.91643,115.035774,71153,3149977,191801,604566677077,0.00198
63,14,Kalimantan,Kalimantan Tengah,Kabupaten,Barito Selatan,Kabupaten Barito Selatan,-2.981434,114.570154,73761,3528912,131997,465279307664,0.00152
64,14,Kalimantan,Kalimantan Tengah,Kabupaten,Barito Timur,Kabupaten Barito Timur,-1.888314,115.025442,73671,3236138,115406,373089396628,0.00122
65,14,Kalimantan,Kalimantan Tengah,Kabupaten,Barito Utara,Kabupaten Barito Utara,-0.889685,115.137965,73881,3595013,160235,575396652355,0.00188
66,14,Kalimantan,Kalimantan Tengah,Kabupaten,Gunung Mas,Kabupaten Gunung Mas,-2.464237,112.862867,74511,3227351,142309,459681638459,0.00150
67,14,Kalimantan,Kalimantan Tengah,Kabupaten,Kapuas,Kabupaten Kapuas,-3.196033,114.390253,73513,3194237,423210,1353703647770,0.00443
